City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chapais,CA,2022-02-14 15:33:54,49.7834,-74.8492,-22.22,88,100,3.71
68,Azangaro,PE,2022-02-14 15:33:54,-14.9167,-70.2167,51.48,65,97,1.95
69,Westport,US,2022-02-14 15:30:39,41.1415,-73.3579,22.32,45,0,17.27
70,Idritsa,RU,2022-02-14 15:33:55,56.3316,28.8988,31.06,83,100,10.87
71,Barrow,US,2022-02-14 15:31:44,71.2906,-156.7887,-29.18,68,20,9.22
72,Castro,BR,2022-02-14 15:31:00,-24.7911,-50.0119,80.62,53,1,3.62
73,Kahului,US,2022-02-14 15:32:00,20.8947,-156.47,68.85,78,20,3.0
74,East London,ZA,2022-02-14 15:32:21,-33.0153,27.9116,70.74,78,75,11.5
75,Minsk,BY,2022-02-14 15:30:00,53.9,27.5667,33.55,87,13,11.32
76,Hay River,CA,2022-02-14 15:31:01,60.8156,-115.7999,-11.22,77,75,5.75
77,Santa Isabel Do Rio Negro,BR,2022-02-14 15:33:57,-0.4139,-65.0192,74.97,97,100,3.44
78,Pisco,PE,2022-02-14 15:32:09,-13.7,-76.2167,75.02,68,0,6.91
79,Eureka,US,2022-02-14 15:30:35,40.8021,-124.1637,47.01,95,37,1.01
80,San Policarpo,PH,2022-02-14 15:33:58,12.1791,125.5072,77.74,77,95,4.99
81,Sao Filipe,CV,2022-02-14 15:32:38,14.8961,-24.4956,74.7,60,100,10.8
82,Hamilton,US,2022-02-14 15:31:01,39.1834,-84.5333,21.42,72,100,3.44
83,Vanimo,PG,2022-02-14 15:31:12,-2.6741,141.3028,78.84,87,100,6.62
84,Verkhoyansk,RU,2022-02-14 15:34:00,67.5447,133.385,-32.57,99,51,0.98
85,Gouyave,GD,2022-02-14 15:34:00,12.1646,-61.7296,84.97,58,20,21.85
86,Kyzyl-Suu,KG,2022-02-14 15:34:01,42.3414,78.0056,26.83,80,100,6.87
87,Kenai,US,2022-02-14 15:32:05,60.5544,-151.2583,25.14,95,100,6.91
88,Porto Novo,BJ,2022-02-14 15:34:01,6.4965,2.6036,87.62,59,97,10.87
89,Dingle,PH,2022-02-14 15:34:02,10.9995,122.6711,74.25,84,26,5.91
90,Mayumba,GA,2022-02-14 15:34:02,-3.432,10.6554,80.62,74,100,6.06
91,Longyearbyen,SJ,2022-02-14 15:32:07,78.2186,15.6401,13.84,85,75,6.91
92,Terney,RU,2022-02-14 15:34:02,45.0503,136.6092,26.29,87,100,15.7
93,Benjamin Hill,MX,2022-02-14 15:34:03,30.1667,-111.1,55.17,12,0,3.69
94,Ruma,RS,2022-02-14 15:34:04,45.0081,19.8222,53.22,85,97,7.0
95,Carnarvon,AU,2022-02-14 15:32:12,-24.8667,113.6333,80.67,74,6,6.91
96,Laguna,US,2022-02-14 15:34:05,38.421,-121.4238,58.96,92,20,9.22
97,Vila Velha,BR,2022-02-14 15:31:18,-20.3297,-40.2925,89.55,69,20,13.0
98,Tuktoyaktuk,CA,2022-02-14 15:31:41,69.4541,-133.0374,-31.0,75,0,10.36
99,Saint George,US,2022-02-14 15:27:33,37.1041,-113.5841,36.07,34,0,3.44
100,Saint Anthony,US,2022-02-14 15:31:37,45.0205,-93.218,11.14,79,0,6.91
101,Labuhan,ID,2022-02-14 15:31:37,-6.8844,112.2051,76.44,89,100,8.77
102,Alice Springs,AU,2022-02-14 15:33:00,-23.7,133.8833,78.35,61,62,3.44
103,Kodiak,US,2022-02-14 15:32:08,57.79,-152.4072,33.31,86,100,0.0
104,Puerto Ayora,EC,2022-02-14 15:32:07,-0.7393,-90.3518,82.36,90,80,1.01
105,Qaqortoq,GL,2022-02-14 15:34:10,60.7167,-46.0333,18.1,57,87,37.87
106,Kununurra,AU,2022-02-14 15:34:10,-15.7667,128.7333,75.18,94,61,4.61
107,Hasaki,JP,2022-02-14 15:32:32,35.7333,140.8333,30.6,53,76,8.37
108,Iqaluit,CA,2022-02-14 15:31:01,63.7506,-68.5145,-13.27,77,100,2.3
109,Chokurdakh,RU,2022-02-14 15:34:11,70.6333,147.9167,-18.63,95,19,8.14
110,Weligama,LK,2022-02-14 15:34:11,5.9667,80.4167,76.77,85,100,4.68
111,Waddan,LY,2022-02-14 15:34:12,29.1614,16.139,66.78,21,0,10.27
112,Olafsvik,IS,2022-02-14 15:34:12,64.8945,-23.7142,36.03,78,100,31.03
113,Avarua,CK,2022-02-14 15:31:41,-21.2078,-159.775,77.05,94,75,6.91
114,Waingapu,ID,2022-02-14 15:34:13,-9.6567,120.2641,78.94,84,27,7.47
115,Presidencia Roque Saenz Pena,AR,2022-02-14 15:34:13,-26.7852,-60.4388,93.52,23,15,2.39
116,San Felipe,VE,2022-02-14 15:34:14,10.3399,-68.7425,82.11,57,88,8.72
117,Saldanha,ZA,2022-02-14 15:32:32,-33.0117,17.9442,95.05,67,36,10.92
118,Qaanaaq,GL,2022-02-14 15:31:34,77.484,-69.3632,3.67,72,100,4.88
119,Cherskiy,RU,2022-02-14 15:31:50,68.75,161.3,-34.67,100,47,4.74
120,Broken Hill,AU,2022-02-14 15:32:30,-31.95,141.4333,80.31,28,12,9.22
121,Sao Joao Da Barra,BR,2022-02-14 15:34:15,-21.6403,-41.0511,87.89,79,0,11.27
122,Sistranda,NO,2022-02-14 15:31:58,63.7256,8.834,31.96,56,57,28.39
123,Pital,CO,2022-02-14 15:34:15,2.2665,-75.8044,80.92,58,100,1.68
124,Xingyi,CN,2022-02-14 15:34:16,24.1877,102.817,45.36,64,0,3.42
125,Springfield,US,2022-02-14 15:32:56,37.2153,-93.2982,45.32,52,0,3.0
126,Faanui,PF,2022-02-14 15:31:47,-16.4833,-151.75,80.55,76,99,16.15
127,Abu Samrah,SY,2022-02-14 15:34:17,35.3029,37.1841,50.49,76,41,9.62
128,Saint-Georges,GD,2022-02-14 15:34:17,12.0564,-61.7485,85.68,58,20,21.85
129,Saint-Pierre,RE,2022-02-14 15:34:17,-21.3393,55.4781,82.08,78,0,11.5
130,Arraial Do Cabo,BR,2022-02-14 15:30:58,-22.9661,-42.0278,91.36,70,20,9.22
131,Clyde River,CA,2022-02-14 15:34:18,70.4692,-68.5914,-12.77,77,100,20.71
132,Bredasdorp,ZA,2022-02-14 15:32:07,-34.5322,20.0403,80.28,60,25,25.32
133,Nome,US,2022-02-14 15:34:19,64.5011,-165.4064,-14.73,70,0,0.0
134,Severo-Kurilsk,RU,2022-02-14 15:31:33,50.6789,156.125,25.27,75,100,3.22
135,Sitka,US,2022-02-14 15:31:59,57.0531,-135.33,40.89,65,75,11.5
136,Salinopolis,BR,2022-02-14 15:34:20,-0.6136,-47.3561,81.1,83,51,10.6
137,San Juan,AR,2022-02-14 15:34:21,-31.5375,-68.5364,90.55,17,1,5.79
138,Samarai,PG,2022-02-14 15:34:21,-10.6167,150.6667,82.11,73,100,6.98
139,Ermelo,ZA,2022-02-14 15:34:21,-26.5333,29.9833,67.41,69,53,14.63
140,Honningsvag,NO,2022-02-14 15:34:22,70.9821,25.9704,31.75,86,75,36.82
141,Cap Malheureux,MU,2022-02-14 15:34:22,-19.9842,57.6142,82.89,77,99,7.0
142,Port Alfred,ZA,2022-02-14 15:31:25,-33.5906,26.891,69.87,74,100,20.8
143,Coahuayana,MX,2022-02-14 15:31:17,18.7333,-103.6833,81.88,35,97,2.95
144,Bengkulu,ID,2022-02-14 15:34:23,-3.8004,102.2655,77.11,84,81,4.18
145,Dikson,RU,2022-02-14 15:31:12,73.5069,80.5464,-4.09,94,100,19.17
146,Yoichi,JP,2022-02-14 15:34:05,43.2039,140.7703,24.78,74,92,3.91
147,Palmer,US,2022-02-14 15:34:23,42.1584,-72.3287,20.03,47,40,13.8
148,Abha,SA,2022-02-14 15:34:24,18.2164,42.5053,62.42,67,0,13.8
